"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name","Pathogen"
"ENSG000002497001",0.0752729436525387,-1.10915529573501,5.45271222407981,6.31443711677709e-08,6.85868745450928e-07,7.76831228717016,"SRD5A3-AS1","HCMV"
"ENSG000002540191",0.0844165638941291,0.930532371285078,5.45116883841554,6.36782386725828e-08,6.91322940925215e-07,7.64263531752725,"ENSG00000254019","HCMV"
"ENSG000002170831",0.0929185592073629,1.0653030370589,5.44998210542036,6.40933206039283e-08,6.94790727681092e-07,7.62080985324108,"MTCO2P33","HCMV"
"ENSG000002758811",0.0611471410286205,1.91945280345317,5.44799997267608,6.47881336152238e-08,7.01624574225701e-07,7.56100686355726,"Metazoa_SRP","HCMV"
"ENSG000001741301",0.0624183756736688,7.63207436017567,5.44777179517583,6.48687732267229e-08,7.02148882184334e-07,7.40126771300898,"TLR6","HCMV"
"ENSG000001274121",0.095818967722504,1.67353397027924,5.44732509970185,6.50285481161814e-08,7.03116417485038e-07,7.57178018301675,"TRPV5","HCMV"
"ENSG000001323591",0.0401441010659399,7.22672676851017,5.4472459889234,6.50549679953113e-08,7.03116417485038e-07,7.3855227671301,"RAP1GAP2","HCMV"
"ENSG000002590881",0.0484288908147927,1.31303961279501,5.44552013044016,6.56697683546014e-08,7.09197902253349e-07,7.59373952436795,"ENSG00000259088","HCMV"
"ENSG000002888041",0.0724411049271994,0.198123697856377,5.44315685085779,6.65207890328596e-08,7.17180342522008e-07,7.64744672535151,"ENSG00000288804","HCMV"
"ENSG000001002881",0.0550590117467515,-0.679039189754561,5.44243975113613,6.6781127067428e-08,7.18919949442781e-07,7.69328086430677,"CHKB","HCMV"
"ENSG000001593141",0.0470516167014328,8.11165221663812,5.4420280231181,6.69310484952892e-08,7.20178081809312e-07,7.38524245124752,"ARHGAP27","HCMV"
"ENSG000002788291",0.0561270971338793,3.95711386012212,5.44110207545916,6.7269405328434e-08,7.23104623927601e-07,7.37364125638954,"ENSG00000278829","HCMV"
"ENSG000002256361",0.0519416219711616,1.69417812749078,5.44074045403445,6.7401998005524e-08,7.24172650168818e-07,7.54218121729751,"HNRNPA3P15","HCMV"
"ENSG000000660841",0.0376715976841487,7.91326076717864,5.43988965833831,6.77149529491301e-08,7.26818280693889e-07,7.36682073317058,"DIP2B","HCMV"
"ENSG000002015241",0.0922252923799595,0.886089260040145,5.43916847900105,6.79828187307038e-08,7.28975215218163e-07,7.5796720284004,"RNU6-450P","HCMV"
"ENSG000002895411",0.0811112624405308,1.67462486703652,5.4378840255466,6.8458320173618e-08,7.33352182036854e-07,7.52661390105795,"ENSG00000289541","HCMV"
"ENSG000002669131",0.0675342831604795,-0.292181482985997,5.43790727160764,6.84496293170126e-08,7.33352182036854e-07,7.64358948927433,"LINC01841","HCMV"
"ENSG000002295341",0.0960043941843601,-2.0395105169293,5.43718608481625,6.87188162525839e-08,7.35379663765573e-07,7.73818818577203,"HNRNPA1P53","HCMV"
