"Barcode","name","nt_rpm","Bacteriodes","Citrobacter","Escherichia","Enterobacter","Klebsiella","Haemophilus","Lactobacillus","Morganella","Prevotella","Proteus","Pseudomonas","Serratia","Staphylococcus","Streptococcus","Anelloviridae","HepatitisB","HSV1","HSV2","VZV","HHV4","HHV5","HHV6","HHV8","Bocavirus","Polyomavirus"
"EARLI_50593","Haemophilus influenzae",110.3835045,0,0,0,0,0,110.3835045,0,0,110.3835045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50604","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50611","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50618","Streptococcus pyogenes",0.578800984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578800984,0,0,0,6.573525461,6.573525461,0.124028782,0,0,0,0,0
"EARLI_50623","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50624","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50626","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745771476,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50635","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474782407,0,0,0,0,0
"EARLI_50640","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10434804,0,0,0,0,0
"EARLI_50642","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50660","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50661","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50692","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50722","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50723","",0,0,0,0,0,0,0,0,0,0,2.463387645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50749","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
